1582618866.190,192.168.250.3:80,23.226.231.226:3682,572
1582619310.860,192.168.250.50:61137,40.114.211.99:443,2241
1582619370.210,192.168.250.3:80,23.226.231.226:28857,308
1582619401.860,192.168.250.62:58474,192.168.250.1:123,152
1582619401.860,192.168.250.1:123,192.168.250.62:58474,152
1582619402.530,192.168.250.50:62595,192.168.250.1:53,132
1582619402.540,192.168.250.1:53,192.168.250.50:62595,450
1582619402.540,192.168.250.50:62596,173.194.73.95:443,5023
1582619402.550,173.194.73.95:443,217.15.20.194:62596,6248
1582619402.700,192.168.250.50:60512,192.168.250.1:53,126
1582619402.700,192.168.250.50:56363,192.168.250.1:53,112
1582619402.700,192.168.250.1:53,192.168.250.50:56363,616
1582619402.700,192.168.250.1:53,192.168.250.50:60512,502
1582619402.710,192.168.250.50:56364,108.177.14.94:443,4313
1582619402.730,108.177.14.94:443,217.15.20.194:56364,4185
1582619403.680,192.168.250.27:61617,192.168.250.1:53,156
1582619403.680,192.168.250.27:61618,192.168.250.1:53,156
1582619403.680,192.168.250.1:53,192.168.250.27:61617,508
1582619403.680,192.168.250.27:61619,192.168.250.1:53,158
1582619403.680,192.168.250.27:61620,192.168.250.1:53,158
1582619403.680,192.168.250.1:53,192.168.250.27:61618,700
1582619403.690,192.168.250.27:61621,192.168.250.1:53,156
1582619403.690,192.168.250.27:61622,192.168.250.1:53,156
1582619403.690,192.168.250.1:53,192.168.250.27:61620,768
1582619403.690,192.168.250.27:61623,192.168.250.1:53,176
1582619403.690,192.168.250.27:61624,192.168.250.1:53,176
1582619403.690,192.168.250.1:53,192.168.250.27:61619,768
1582619403.690,192.168.250.27:61625,192.168.250.1:53,154
1582619403.690,192.168.250.27:61626,192.168.250.1:53,154
1582619403.700,192.168.250.1:53,192.168.250.27:61622,764
1582619403.700,192.168.250.27:61627,192.168.250.1:53,154
1582619403.700,192.168.250.27:61628,192.168.250.1:53,154
1582619403.700,192.168.250.1:53,192.168.250.27:61621,764
1582619403.700,192.168.250.1:53,192.168.250.27:61624,676
1582619403.700,192.168.250.27:61629,192.168.250.1:53,152
1582619403.700,192.168.250.27:61630,192.168.250.1:53,152
1582619403.700,192.168.250.1:53,192.168.250.27:61623,676
1582619403.710,192.168.250.1:53,192.168.250.27:61626,888
1582619403.710,192.168.250.27:61631,192.168.250.1:53,156
1582619403.710,192.168.250.27:61632,192.168.250.1:53,156
1582619403.710,192.168.250.1:53,192.168.250.27:61625,888
1582619403.710,192.168.250.1:53,192.168.250.27:61628,760
1582619403.720,192.168.250.27:61633,192.168.250.1:53,152
1582619403.720,192.168.250.27:61634,192.168.250.1:53,152
1582619403.720,192.168.250.1:53,192.168.250.27:61627,760
1582619403.720,192.168.250.1:53,192.168.250.27:61630,596
1582619403.720,192.168.250.27:61635,192.168.250.1:53,160
1582619403.720,192.168.250.27:61636,192.168.250.1:53,160
1582619403.720,192.168.250.1:53,192.168.250.27:61629,596
1582619403.730,192.168.250.1:53,192.168.250.27:61632,700
1582619403.730,192.168.250.1:53,192.168.250.27:61631,700
1582619403.730,192.168.250.1:53,192.168.250.27:61634,884
1582619403.730,192.168.250.1:53,192.168.250.27:61633,884
1582619403.740,192.168.250.1:53,192.168.250.27:61636,772
1582619403.740,192.168.250.1:53,192.168.250.27:61635,772
1582619403.760,192.168.250.27:50297,81.19.104.45:443,224
1582619403.800,81.19.104.45:443,217.15.20.194:50297,136
1582619407.280,192.168.250.3:25727,192.168.250.1:53,142
1582619407.280,192.168.250.1:53,192.168.250.3:25727,322
1582619407.280,192.168.250.3:30193,192.168.250.1:53,124
1582619407.280,192.168.250.1:53,192.168.250.3:30193,124
1582619407.280,192.168.250.3:60435,192.168.250.1:53,140
1582619407.280,192.168.250.1:53,192.168.250.3:60435,140
1582619408.880,23.226.231.226:56019,217.15.20.194:80,80
1582619283.610,13.94.251.244:443,217.15.20.194:58679,7397
1582618892.040,23.226.231.226:43635,217.15.20.194:80,120
1582619411.310,192.168.250.27:65421,192.168.250.1:53,120
1582619411.320,192.168.250.27:49774,192.168.250.1:53,140
1582619411.340,192.168.250.1:53,192.168.250.27:65421,458
1582619411.340,192.168.250.1:53,192.168.250.27:49774,540
1582619413.990,192.168.250.27:59375,192.168.250.1:53,154
1582619413.990,192.168.250.1:53,192.168.250.27:59375,740
1582619383.130,192.168.250.3:80,23.226.231.226:16066,308
1582619237.500,68.232.34.200:443,217.15.20.194:50291,11442
1582619237.460,192.168.250.27:50291,68.232.34.200:443,2713
1582619407.210,92.118.38.58:38220,217.15.20.194:25,1027
1582619407.210,192.168.250.3:25,92.118.38.58:38220,972
1582618879.100,192.168.250.3:80,23.226.231.226:56426,572
1582619421.120,192.168.250.27:59107,192.168.250.1:53,150
1582619421.120,192.168.250.1:53,192.168.250.27:59107,468
1582619421.740,23.226.231.226:43228,217.15.20.194:80,80
1582619423.430,192.168.250.50:59515,192.168.250.1:53,146
1582619423.430,192.168.250.1:53,192.168.250.50:59515,464
1582619423.440,192.168.250.50:59516,173.194.222.95:443,4328
1582619423.440,173.194.222.95:443,217.15.20.194:59516,27012
1582619279.810,192.168.250.50:51353,77.111.247.41:443,2739
1582619288.860,77.111.247.41:443,217.15.20.194:51353,1948
1582619424.770,172.253.5.2:35312,217.15.20.194:53,162
1582619424.780,192.168.250.247:53,172.253.5.2:35312,344
1582619424.780,74.125.41.3:35120,217.15.20.194:53,162
1582619424.780,192.168.250.247:53,74.125.41.3:35120,344
1582619396.010,192.168.250.3:80,23.226.231.226:3275,308
1582619383.610,77.111.247.41:443,217.15.20.194:61392,9286
1582619383.580,192.168.250.50:61392,77.111.247.41:443,2824
1582619253.290,68.232.34.200:443,217.15.20.194:60484,11356
1582619253.250,192.168.250.57:60484,68.232.34.200:443,2754
1582618904.960,23.226.231.226:30844,217.15.20.194:80,120
1582619411.810,13.232.66.4:443,217.15.20.194:50301,4216
1582619310.890,40.114.211.99:443,217.15.20.194:61137,7609
1582619411.560,192.168.250.27:50300,77.74.181.18:443,1334
1582619411.590,77.74.181.18:443,217.15.20.194:50300,709
1582619434.110,192.168.250.62:45990,192.168.250.1:123,152
1582619434.110,192.168.250.1:123,192.168.250.62:45990,152
1582619434.610,23.226.231.226:30437,217.15.20.194:80,80
1582619437.260,192.168.250.3:31919,192.168.250.1:53,186
1582619437.260,192.168.250.1:53,192.168.250.3:31919,218
1582619437.270,192.168.250.3:17551,93.92.192.5:2022,2865
1582619437.270,93.92.192.5:2022,217.15.20.194:17551,2528
1582619428.800,192.168.250.50:61547,77.111.247.41:443,204
1582619438.420,192.168.250.3:40680,192.168.250.1:53,142
1582619438.430,192.168.250.1:53,192.168.250.3:40680,322
1582619438.430,192.168.250.3:17233,192.168.250.1:53,124
1582619438.430,192.168.250.1:53,192.168.250.3:17233,124
1582619438.430,192.168.250.3:15302,192.168.250.1:53,140
1582619438.430,192.168.250.1:53,192.168.250.3:15302,140
1582619408.880,192.168.250.3:80,23.226.231.226:56019,308
1582619411.980,192.168.250.27:50302,77.74.181.18:443,980
1582619412.000,77.74.181.18:443,217.15.20.194:50302,534
1582618892.040,192.168.250.3:80,23.226.231.226:43635,572
1582619446.780,192.168.250.35:55568,192.168.250.1:53,128
